Dumping particle list:
 0: error
 1: rockettrail_!
 2: rockettrail_burst
 3: rockettrail_fire
 4: critical_rocket_blue
 5: critical_rocket_bluesparks
 6: critical_rocket_red
 7: critical_rocket_redsparks
 8: rockettrail_underwater
 9: rockettrail_waterbubbles
 10: sentry_rocket
 11: sentry_rocket_burst
 12: sentry_rocket_fire
 13: rockettrail
 14: flaregun_trail_blue
 15: flaregun_sparkles_blue
 16: flaregun_sparkles_red
 17: flaregun_trail_red
 18: flaregun_trail_crit_red
 19: flaregun_crit_red
 20: flaregun_crit_blue
 21: flaregun_trail_crit_blue
 22: pyrovision_flaregun_trail_red
 23: pyrovision_flaregun_trail_blue
 24: pyrovision_rockettrail
 25: rockettrail_bubbles
 26: pyrovision_flaregun_trail_crit_blue
 27: pyrovision_flaregun_trail_crit_red
 28: flaregun_energyfield_red
 29: flaregun_energyfield_blue
 30: scorchshot_trail_blue
 31: scorchshot_trail_crit_blue
 32: scorchshot_trail_crit_red
 33: scorchshot_trail_red
 34: pyrovision_scorchshot_trail_blue
 35: pyrovision_scorchshot_trail_crit_blue
 36: pyrovision_scorchshot_trail_crit_red
 37: pyrovision_scorchshot_trail_red
 38: halloween_rockettrail
 39: healshot_trail_red
 40: healshot_trail_blue
 41: bullet_distortion_trail
 42: bullet_distortion_trail_tracer
 43: tranq_distortion_trail
 44: tranq_tracer_teamcolor_red
 45: tranq_tracer_teamcolor_blue
 46: rockettrail_airstrike
 47: rockettrail_burst_airstrike
 48: rockettrail_fire_airstrike
 49: rockettrail_airstrike_line
 50: rockettrail_RocketJumper
 51: furious_flyer_activated
 52: furious_flyer_activated_burst
 53: furious_flyer_activated_fire
 54: smoke_blackbillow
 55: smoke_blackbillowflame
 56: smoke_whitebillow
 57: smoke_blackbillow_skybox
 58: smoke_blackbillowflame_skybox
 59: smoke_rocket_steam
 60: smoke_whitebillow_skybox
 61: smoke_wispy_black_skybox
 62: smoke_wispy_black_2fort
 63: smoke_wispy_black_gravelpit
 64: smoke_blackbillow_gravelpit_skybox
 65: smoke_blackbillowflame_gravelpit_skybox
 66: smoke_blackbillowflame2_gravelpit_skybox
 67: smoke_whitebillow_steamship_skybox
 68: smoke_wispy_black_granary
 69: smoke_blackbillow_hydro_skybox
 70: smoke_blackbillow_dustbowl_skybox
 71: smoke_blackbillowflame_dustbowl_skybox
 72: smoke_wispy_black_dustbowl
 73: smoke_rocket_steam_dustbowl
 74: smoke_pipeline_001
 75: smoke_pipeline_fires
 76: smoke_pipeline_glowsmoke
 77: smoke_train
 78: smoke_steam
 79: smoke_campfire
 80: smoke_campfireflame
 81: teleporter_red_exit
 82: teleporter_red_entrance_disc
 83: teleporter_red_floorglow
 84: teleporter_arms_circle_red
 85: teleporter_red_entrance
 86: teleporter_blue_entrance
 87: teleporter_blue_entrance_disc
 88: teleporter_blue_floorglow
 89: teleporter_blue_exit
 90: teleporter_arms_circle_blue
 91: teleporter_blue_charged
 92: teleporter_blue_charged_hotplate
 93: teleporter_blue_charged_wisps
 94: teleporter_red_charged_wisps
 95: teleporter_red_charged
 96: teleporter_red_charged_hotplate
 97: teleporter_blue_entrance_level2
 98: teleporter_blue_entrance_level3
 99: teleporter_blue_charged_level2
 100: teleporter_blue_wisps_level2
 101: teleporter_blue_charged_level3
 102: teleporter_blue_wisps_level3
 103: teleporter_blue_exit_level2
 104: teleporter_blue_exit_level3
 105: teleporter_red_charged_level2
 106: teleporter_red_wisps_level2
 107: teleporter_red_charged_level3
 108: teleporter_red_wisps_level3
 109: teleporter_red_entrance_level2
 110: teleporter_red_entrance_level3
 111: teleporter_blue_charged_level1
 112: teleporter_blue_entrance_level1
 113: teleporter_blue_exit_level1
 114: teleporter_red_charged_level1
 115: teleporter_red_entrance_level1
 116: teleporter_red_exit_level2
 117: teleporter_red_exit_level3
 118: teleporter_red_exit_level1
 119: teleporter_arms_circle_blue_blink
 120: teleporter_arms_circle_red_blink
 121: ExplosionCore_buildings
 122: Explosion_Debris001
 123: Explosion_Dustup
 124: Explosion_Dustup_2
 125: Explosion_CoreFlash
 126: Explosion_FloatieEmbers
 127: Explosion_Smoke_1
 128: Explosion_Flash_1
 129: Explosion_FlyingEmbers
 130: Explosion_Flashup
 131: ExplosionCore_MidAir
 132: Explosions_MA_coreflash
 133: Explosions_MA_Dustup
 134: Explosions_MA_Flash_1
 135: Explosions_MA_Flashup
 136: Explosions_MA_FloatieEmbers
 137: Explosions_MA_FlyingEmbers
 138: Explosions_MA_Smoke_1
 139: Explosions_MA_Debris001
 140: airburst_shockwave
 141: airburst_shockwave_d
 142: bday_blood
 143: bday_1balloon
 144: bday_bloodconfetti
 145: bday_bloodconfetti2
 146: ExplosionCore_Wall
 147: ExplosionCore_Wall_underwater
 148: Explosion_bubbles
 149: bday_confetti
 150: bday_confetti_colors
 151: bday_balloon01
 152: bday_balloon02
 153: Explosions_MA_Dustup_2
 154: ExplosionCore_MidAir_underwater
 155: Explosions_UW_Debris001
 156: ExplosionCore_sapperdestroyed
 157: sapper_coreflash
 158: sapper_debris
 159: sapper_flash
 160: sapper_flashup
 161: sapper_flyingembers
 162: sapper_smoke
 163: ExplosionCore_MidAir_Flare
 164: pyrovision_blood
 165: pyrovision_1balloon
 166: pyrovision_explosion
 167: pyrovision_flaregun_destroyed
 168: Explosion_ShockWave_01
 169: rd_robot_explosion_bits
 170: rd_robot_explosion_smoke
 171: rd_robot_explosion_burst
 172: rd_robot_explosion
 173: rd_robot_explosion_smoke_linger
 174: rd_robot_exposion_glow
 175: rd_robot_explosion_shockwave
 176: rd_robot_explosion_shockwave2
 177: rd_robot_explosion_bits2
 178: rd_robot_explosion_trail_smoke3
 179: rd_robot_explosion_trail_fire
 180: rd_robot_explosion_trail_smoke
 181: rd_robot_explosion_trail_burst
 182: rd_robot_explosion_trail
